i	Pi	Wi	Di
1	74	4	1636
2	11	2	2079
3	93	2	2653
4	61	8	2032
5	44	3	4112
6	41	9	3181
7	64	1	2296
8	19	8	2072
9	68	3	2377
10	53	5	1561
11	62	2	1743
12	48	2	3335
13	10	2	4015
14	59	1	3004
15	41	1	4153
16	94	3	1826
17	1	6	4174
18	34	3	3288
19	39	7	3481
20	10	10	1991
21	41	2	2771
22	14	9	2532
23	88	5	4080
24	95	4	3596
25	73	8	3110
26	76	4	1502
27	27	4	3510
28	59	2	3098
29	65	7	4064
30	46	2	2246
31	82	9	3211
32	85	1	3968
33	99	5	2171
34	70	3	3824
35	19	7	1434
36	74	1	4273
37	57	8	1734
38	92	10	1657
39	100	9	1986
40	15	9	3141
41	29	2	3622
42	16	4	3013
43	4	6	4345
44	73	8	3045
45	33	6	3981
46	29	8	3415
47	87	9	3449
48	5	8	1932
49	65	3	3878
50	29	8	3422
51	21	4	2689
52	27	4	3013
53	6	1	4214
54	91	1	3995
55	34	4	2277
56	40	9	3006
57	12	4	3050
58	45	9	3162
59	53	9	4139
60	63	8	2528
61	55	2	4187
62	77	9	1938
63	90	3	4774
64	89	7	1718
65	52	5	2098
66	63	9	2553
67	82	2	2356
68	13	9	2220
69	92	3	4152
70	1	6	2446
71	31	10	3944
72	3	2	1777
73	8	8	3383
74	60	6	3574
75	48	6	3672
76	5	4	4460
77	94	3	3915
78	39	6	3066
79	75	10	3847
80	82	7	4191
81	77	6	2182
82	86	2	2578
83	86	9	2191
84	22	4	3975
85	19	5	2601
86	12	10	2457
87	13	3	2971
88	28	7	3577
89	74	1	3863
90	43	2	3341
91	18	6	3410
92	100	6	4118
93	88	3	3688
94	40	1	1617
95	92	2	2852
96	73	4	2819
97	76	3	2590
98	71	3	1551
99	79	1	2865
100	74	10	4301
101	41	3	3223
102	75	3	2066
103	60	10	3051
104	38	1	1452
105	91	4	2447
106	68	10	2135
107	57	2	3557
108	45	5	4554
109	25	8	3349
110	67	10	3069
111	85	9	2541
112	2	8	3697
113	98	3	2655
114	25	7	1777
115	61	7	3757
116	89	8	2254
117	63	9	1572
118	90	2	2476
119	64	2	2659
120	4	10	4237
121	68	1	4324
122	100	9	4050
123	11	9	3334
124	38	2	2245
125	18	8	3863
126	46	4	3694
127	68	6	3149
128	17	10	3830
129	50	1	1820
130	83	4	2004
131	64	1	3064
132	25	5	2083
133	63	9	3739
134	59	10	2081
135	61	2	3076
136	84	8	1742
137	79	3	3583
138	91	7	3605
139	78	4	3972
140	53	10	3824
141	5	8	2766
142	4	6	4023
143	33	9	4454
144	47	6	1809
145	15	2	2119
146	23	8	2111
147	31	4	3593
148	80	9	2270
149	73	4	3926
150	18	8	2901
